http://www.aibl.fr/membres/academiciens-depuis-1663/;;;;;;;;;;
;;;;;;;;;;
"de 1663 à 1701 : une seule catégorie, celle de membre (M) ;";;;;;;;;;;
"de 1701 à 1793 : ont été retenues les catégories de membres honoraire (H), pensionnaire (P) et d’associé libre (AL) ; les deux premières correspondent à celles des membres actuels, la dernière à celle des associés étrangers ;";;;;;;;;;;
"de 1795 à 1816 : les différentes catégories de membres ont été fondues ensemble (M) ; s’y ajoutent des associés étrangers (AE) ;";;;;;;;;;;
"de 1816 à 1999 : trois catégories de membres : membre ordinaire (O), membre libre (L) et associé étranger (AE) ;";;;;;;;;;;
depuis 1999 : une seule catégorie, celle de membre (M), à laquelle s’adjoignent des associés étrangers (AE).;;;;;;;;;;
;;;;;;;;;;
FullName;VIAF Number;Pseudonym (dit);;;;;;;;
 DIEULAFOY, le colonel Marcel, Auguste, (1844 - L 1895 - 1920);;;;;;;;;;
 DODDS, Eric Robertson (1893 - AE 1972 - 1979);;;;;;;;;;
 DOSSIN, Georges, Gilles, Joseph (1896 - AE 1957 - 1983);;;;;;;;;;
 DUBY, Georges, Michel, Claude (1919 - O 1974 - 1996);;;;;;;;;;
 DUCREY, Pierre (1938 - AE 2008);;;;;;;;;;
 DUGAS, Charles (1885 - L 1942 - 1957);;;;;;;;;;
DULAURIER, Édouard, Jean, Paul, Louis, François, LEUGE - (1807 - O 1864 - 1881);;;;;;;;;;
 DUMÉZIL, Georges, Edmond, Raoul (1898 - L 1970 - 1986);;;;;;;;;;
DUMONT, Charles, Albert, Auguste, Eugène (1824 - O 1882 - 1888);;;;;;;;;;
 DUPONT-FERRIER, Émile, Joseph, Marie, Gustave (1865 - O 1934 - 1956);;;;;;;;;;
 DUPONT-SOMMER, André, Louis (1900 - O 1961 - 1983);;;;;;;;;;
 DUPUY, l’abbé Louis (1709 - P 1778 - 1795);;;;;;;;;;
 DUREAU de la MALE, Adolphe (1777- O 1818 - 1857);;;;;;;;;;
 DURRBACH, Félix (1859 - L 1926 - 1931);;;;;;;;;;
 DURRIEU, Jean, Marie, Paul, Simon, comte (1855 - L 1907 - 1925);;;;;;;;;;
 DUSSAUD, René , Élie, Pierre, (1868 - O 1923 - 1958);;;;;;;;;;
 DUSSAULX, Jean (1728 - M 1795 - 1799);;;;;;;;;;
 DUTENS, Louis (1730 - AL 1775 - 1812);;;;;;;;;;
 DUVAL, Paul-Marie (1912 - O 1971 - 1997) ;;;;;;;;;;
;;;;;;;;;;
Retour en haut de page;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 EGGER, Auguste, Émile (1813 - O 1854 - 1885);;;;;;;;;;
 EISSFELDT, Otto, Hermann, Wilhelm, Leonhard (1887 - AE 1966 - 1973);;;;;;;;;;
 ÉMERIC-DAVID, Toussaint-Bernard EMERIC, dit (1755 - O 1816 - 1839);;;;;;;;;;
 ENLART, Désiré, Louis, Camille (1862 - O 1925 - 1927);;;;;;;;;;
 ERNOUT, Alfred, Georges (1879 - O 1934 - 1973);;;;;;;;;;
 ESPÉRANDIEU, le commandant Jules, Emile (1857 - L 1919 - 1939);;;;;;;;;;
 ESTRÉES, le maréchal Victor-Marie, duc d’ (1660 - H 1726 - 1737);;;;;;;;;;
 ÉTIENNE, Robert (1921 - M 1999 - 2009);;;;;;;;;;
 EUZENNAT, Maurice, Joseph, Gaston (1926 - L 1995 - 2004);;;;;;;;;;
 EVANS, Sir Arthur, John (1851 - AE 1939 - 1941);;;;;;;;;;
 EWIG, Eugen (1913 - AE 1975 - 2006);;;;;;;;;;
 EYRIÈS, Jean-Baptiste-Benoist (1767 - L 1839 - 1846) ;;;;;;;;;;
;;;;;;;;;;
Retour en haut de page;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
 FABIA, Philippe (1860 - L 1931 - 1938);;;;;;;;;;
 FAIDHERBE, le général Louis-Léon-César (1818 - L 1884 - 1889);;;;;;;;;;
